クラブ,正式名称,id,年,所属,ライセンス,営業収入,広告料収入,入場料収入,Jリーグ配分金,アカデミー関連収入,その他収入,営業費用,チーム人件費,試合関連経費,トップチーム運営経費,アカデミー運営経費,女子チーム運営経費,販売費および一般管理費,営業利益,営業外収益,営業外費用,経常利益,特別利益,特別損失,税引前当期利益,法人税および住民税等,当期純利益,流動資産,固定資産等,総資産,流動負債,固定負債,総負債,資本金,資本剰余金等,利益剰余金,純資産,順位,勝ち点,PPG,リーグ戦入場者数,リーグ戦ホーム試合数,リーグカップ入場者数,リーグカップホーム試合数,PO入場者数,POホーム試合数,ACL入場者数,ACLホーム試合数,総入場者数,ホーム総試合数
讃岐,カマタマーレ讃岐,34,2014,J2,J1,584,213,104,92,46,129,479,180,63,72,23,0,141,105,3,2,106,0,0,106,0,106,153,27,180,39,4,43,77,76,-16,137,21,33,0.7857,69664,21,0,0,6170,1,0,0,75834,22
愛媛,愛媛FC,36,2014,J2,J1,576,272,60,108,50,86,571,257,25,94,21,19,155,5,0,0,5,0,0,5,2,3,107,49,156,76,0,76,209,-1,-128,80,19,48,1.1429,80228,21,0,0,0,0,0,0,80228,21
福岡,アビスパ福岡,37,2014,J2,J1,947,334,192,96,210,115,942,417,76,121,65,0,263,5,13,6,12,0,0,12,3,9,137,252,389,268,39,307,176,246,-340,82,16,50,1.1905,106303,21,0,0,0,0,0,0,106303,21
北九州,ギラヴァンツ北九州,52,2014,J2,J2,747,308,79,90,64,205,738,284,46,103,26,0,279,9,0,1,7,0,0,7,2,5,162,21,183,124,37,161,184,0,-161,23,5,65,1.5476,76072,21,0,0,0,0,0,0,76072,21
長崎,V・ファーレン長崎,38,2014,J2,J1,894,502,101,98,35,158,889,335,67,135,28,0,324,5,0,3,2,0,0,2,1,1,112,27,139,67,0,67,241,19,-189,71,14,52,1.2381,101611,21,0,0,0,0,0,0,101611,21
熊本,ロアッソ熊本,39,2014,J2,J1,750,289,135,100,22,204,715,276,43,110,16,0,270,35,7,1,41,0,0,41,5,36,191,9,200,137,26,163,334,0,-297,37,13,54,1.2857,147046,21,0,0,0,0,0,0,147046,21
大分,大分トリニータ,40,2014,J2,J1,1006,493,249,96,41,127,926,349,67,140,77,3,290,80,18,4,94,0,0,94,0,94,594,44,638,347,134,481,40,40,77,157,7,63,1.5000,176859,21,0,0,0,0,0,0,176859,21
盛岡,グルージャ盛岡,41,2014,J3,J3,163,94,11,13,22,23,166,61,12,40,7,0,46,-3,5,1,1,0,0,1,0,1,35,16,51,29,11,40,62,0,-51,11,5,45,1.3636,27403,18,0,0,0,0,0,0,27403,18
秋田,ブラウブリッツ秋田,42,2014,J3,J3,216,116,8,12,34,46,263,92,6,35,17,0,112,-47,47,2,-1,2,0,1,0,1,19,15,34,10,71,81,96,0,-143,-47,8,34,1.0303,31921,18,0,0,0,0,0,0,31921,18
福島,福島ユナイテッドFC,43,2014,J3,J3,311,184,16,12,28,71,310,98,40,40,12,0,120,1,1,0,2,0,0,2,1,1,64,5,69,25,4,29,39,0,1,40,7,36,1.0909,23769,18,0,0,0,0,0,0,23769,18
町田,町田ゼルビア,24,2014,J3,J2,363,226,42,12,6,77,357,120,31,50,4,0,152,6,1,2,5,0,0,5,1,4,121,100,221,27,120,147,167,120,-213,74,3,68,2.0606,56404,18,0,0,0,0,0,0,56404,18
YS横浜,Y.S.C.C.横浜,45,2014,J3,J3,179,36,12,12,91,28,195,18,12,25,32,3,105,-16,1,0,-15,0,0,-15,0,-15,31,9,40,39,0,39,0,0,0,1,12,24,0.7273,18323,18,0,0,0,0,0,0,18323,18
相模原,SC相模原,46,2014,J3,J3,199,138,27,11,5,18,197,52,19,28,0,0,98,2,6,0,8,0,8,0,0,0,54,6,60,48,2,50,19,0,-9,10,6,43,1.3030,56388,18,0,0,0,0,0,0,56388,18
長野,AC長野パルセイロ,47,2014,J3,J2,426,287,51,13,17,58,418,192,14,48,23,13,128,8,0,0,8,0,0,8,0,8,81,5,86,53,0,53,79,14,-60,33,2,69,2.0909,64701,18,0,0,8944,1,0,0,73645,19
金沢,ツエーゲン金沢,28,2014,J3,J2,302,192,20,12,28,50,349,170,19,42,20,0,99,-47,44,0,-3,0,0,-3,0,-3,100,15,115,71,0,71,100,0,-56,44,1,75,2.2727,61920,18,0,0,0,0,0,0,61920,18
藤枝,藤枝MYFC,49,2014,J3,J3,126,72,10,11,0,33,163,24,19,27,0,0,93,-37,4,0,-33,0,0,-33,1,-34,35,65,100,69,5,74,116,113,-203,26,11,30,0.9091,23733,18,0,0,0,0,0,0,23733,18
鳥取,ガイナーレ鳥取,51,2014,J3,J3,460,241,53,12,46,108,547,162,25,39,30,0,291,-87,0,8,-95,1,0,-94,1,-95,43,420,463,229,251,480,172,108,-297,-17,4,53,1.6061,55242,18,0,0,0,0,0,0,55242,18
琉球,FC琉球,54,2014,J3,J3,233,114,15,11,33,60,271,76,19,49,17,0,109,-38,3,0,-35,0,0,-35,1,-36,56,8,64,57,0,57,120,0,-113,7,9,34,1.0303,25162,18,0,0,0,0,0,0,25162,18
山口,レノファ山口,33,2014,JFL,J3,156,108,12,0,2,35,194,42,12,44,4,0,93,-38,2,1,-37,0,0,-37,0,-38,81,7,89,79,0,79,67,0,-57,10,4,51,1.9615,29856,13,0,0,0,0,0,0,29856,13
